name,date,time,weight,bellyscore,feeding
L-102,2000-11-09,18:47,68.2,N,
L-102,2000-12-02,18:21,65.4,N,
L-102,2000-12-09,7:10,64.4,N,
L-102,2000-12-10,8:10,68.9,F to B,
L-102,2001-07-13,18:27,60,N,
L-102,2001-07-14,18:24,63.6,N,
L-102,2001-07-17,8:10,63.1,N,
L-102,2001-07-26,7:04,63.2,N,
L-102,2001-08-02,17:37,61.3,N,
L-102,2001-08-08,17:57,59.1,N,
L-102,2001-08-24,18:54,64,N to F,
L-102,2001-09-01,18:13,63.5,N,
L-102,2001-09-14,17:47,62.7,N,
L-102,2001-09-25,18:16,65.1,N,
L-102,2001-10-24,18:29,64.1,N,
L-102,2001-11-02,17:46,71.2,F,
L-102,2001-11-09,8:29,64.5,N to F,
L-102,2001-11-21,9:27,66.5,F,
L-102,2001-11-26,9:48,60.4,N,
L-102,2001-11-26,13:10,68.8,F,F
L-102,2002-05-27,8:47,58.7,N,
L-102,2002-05-29,18:50,58.7,N,
L-102,2002-06-01,7:25,56.6,N,
L-102,2002-06-03,17:58,57.2,N,
L-102,2002-06-22,18:26,59.6,N,
L-102,2002-07-15,9:14,62.2,N to F,
L-102,2002-11-07,8:00,62.4,N to F,
L-102,2002-11-14,6:28,63.2,N to F,
L-102,2002-11-21,8:46,64.1,F,
L-102,2002-11-21,18:14,65.5,F,
L-102,2002-12-15,17:59,60.8,N,
L-102,2002-12-21,7:38,72.9,B,F
L-102,2002-12-24,18:21,66.4,F,
L-102,2002-12-25,18:07,61.9,N,
L-102,2002-12-30,9:53,58.5,N,
L-102,2003-01-05,18:08,59.8,N,
L-102,2003-01-12,18:14,65.6,N to F,
L-102,2003-03-06,18:14,64,N,
L-102,2003-08-12,18:06,64,N to F,
L-102,2003-08-23,18:13,61.1,N,
L-102,2003-09-07,18:46,66.6,N to F,
L-102,2003-09-09,6:55,69.2,B,
L-102,2003-10-18,7:28,61.5,N,
L-102,2003-10-19,18:26,60.4,N,
L-102,2003-10-24,10:39,64.7,F,
L-102,2003-10-29,17:57,61.7,N,
L-102,2003-11-10,18:45,62.3,N,
L-102,2003-11-13,9:03,67.7,F,
L-102,2004-05-03,10:51,76,F,
L-102,2004-05-14,17:52,77.4,F,
L-102,2004-06-07,9:12,61.4,N,
L-102,2004-10-16,9:38,72.2,F,
L-102,2004-10-22,17:42,64.5,N,
L-102,2004-11-16,17:40,63.9,N,
L-102,2004-11-18,17:36,66.2,N,
L-102,2004-11-20,18:36,60.3,N,
