injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in0821,2018-04-21,11:50,A-380,"limping, bleeding badly from RBL","Other hyenas, likely males from same clan",RBL,10 cm diameter circular wound / bite mark on inside and outside of leg above ankle,"bleeding and limping badly, but mobile ",displaying submissive behavior towards S-174 and A-307,AD
in_20180504_1136_L-312,2018-05-04,11:36,L-312,big injury on the side,,,,,,PN
in_20180701_0654_A-487,2018-07-01,6:54,A-487,"Cut on forehead and limping, bleeding badly from LBL",other hyenas ,"LBL, head","15 cm gash on LBL, 10 cm cut on forehead","bleeding, limping badly, seems weak and disoriented",appears to be weak and tired; not actively aware of surroundings. Sibling A-488 is unharmed and appears healthy + alert,AD
in_20180718_0652_L-439,2018-07-18,6:52,L-439,fresh open wounds on side,?,right side + hip,,limping,,PN
in_20180823_0750_S-163,2018-08-23,7:50,S-163,big injury on the shoulder ,,,,,,PN
,2018-08-27,15:50,L-300,quite fresh wounds around both ears and on LHL.,HY,"around both ears, foot of LHL",,"limping, not in good shape",,OH
in_20180901_0935_T-206,2018-09-01,9:35,T-206,big injury on the shoulder ,,shoulder,,,,OH
in0823,2018-09-07,7:18,S-234,"big puncture hol on inside of left HL, bleeding, probably from yesterday.",fight with other clan members?,"LHL, inside",0.5x0.5,"limping, but not badly",may have happened during fight during possible infanticide,OH
in_20180907_0805_S-182,2018-09-07,8:05,S-182,left eye milky,,left eye,,,,OH
in_20180909_0718_A-470,2018-09-09,7:18,A-470,with small swelling (from Streptococcus infection?),,,,,,OH
in0825,2018-09-10,9:14,S-165,"quite fresh wound on LFL, inside",HY? Hunting?,"LFL, inside",6x2,"licking it occasionally, not obviously limping",,OH
in_20180911_0657_E-292,2018-09-11,6:57,E-292,"weak, skinny, moving very little",,,,,,OH
in_20180911_0657_E-294,2018-09-11,6:57,E-294,"weak, skinny, moving very little",,,,,,OH
in_20180911_0657_E-295,2018-09-11,6:57,E-295,"weak, skinny, moving very little",,,,,,OH
in0826,2018-11-29,9:15,S-248,limping with RHL; fresh wounds on ears and head,NA,"RHL, head, ears",,"Limping,seems weak",,PN
in_20181202_0833_A-461,2018-12-02,8:33,A-461,"skinny, found dead 2018-12-07",,,,,,
in0827,2018-12-03,6:52,A-238,"right eye milky, left eye swollen and oozing mucus or pus",Infection?,both eyes,,"appears disoriented, confused, possibly bilateral blindness",appeared less shy at first because she did not see the vehicle,AD
in0828,2018-12-03,7:22,A-305,Bloody left knee; does not affect movement,HY? Hunting?,"LHL, knee",5x3 ,,moving fine and resting at den,AD
in_20181205_0942_S-247,2018-12-05,9:42,S-247,"injured, wounds on pseudopenis, right ear, RHL",,,,,,OH
in0829,2018-12-08,7:00,A-476,blood and bite marks on RHL,HY?  ,RHL,,"limping, but not badly",shy,AD
in0830,2018-12-09,12:10,S-213,"fresh open wound, piece of skin bitten off",?,right shoulder,5x3 ,nothing visible,,OH
in0831,2018-12-12,9:47,E-233,"bleeding puncture wound on R shoulder, quite shallow ",Buffalo?,right shoulder,3x3,"nothing visible, relaxed and moving fine",resting near buffalo carcass with E-259. May have sustained injury while hunting buffalo,AD
