injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in0273,2001-09-28,6:50,L-131,"several small wounds around ears and wound on lhl, about 2 days old",prob other hy,"both ears, more holes on right ear, and lhl","puncture hole sizes, on leg 3 x 3cm",-,,
in0274,2001-10-08,8:09,L-141,limping with LFL,,LFL,,still limping,,
in0275,2001-10-08,9:13,L-105,"big hole on right shoulder, only a few days old",prob wi,right shoulder,2x2,-,,
in0276,2001-10-27,6:30,N-089,swollen foot,?,RFL,,"limping badly, not standing on leg when wa",,
in0277,2001-11-02,9:38,M-098,swollen penis,"copulation, parturition",penis,,,,
in0278,2001-11-22,7:20,L-114,slightly split penis,"copulation, parturition",penis,,,"no cubs seen, but must have given birth",
in0279,2002-04-08,7:12,L-040,big open wound on bum,,le side of bum,8cm,-,,
in0280,2002-04-09,6:55,N-042,limping with RHL,,RHL,-,"limping quite badly, usually not standing on the leg",,
in0281,2002-04-14,6:27,M-006,limping with RHL,,,,,,
in0282,2002-04-17,6:34,M-098,"limping badly, swollen foot, open wound (hole) on LHL",,LHL,,limping badly,,
in0283,2002-04-17,8:50,M-169,open wound,,left foot,2x2,limping,,
in0284,2002-04-17,17:44,M-149,"superficial wound, not bleeding",,above left hip,2x3,-,,
in0285,2002-04-17,18:32,M-147,"open wound, fresh",,between ri eye and ri ear,3x6,-,,
in0286,2002-04-23,6:25,M-097,"snare wound, healed, trachea with hole",snare,around neck,,"seems to cope well with wound, cannot whoop though",see pictures,
in0287,2002-05-06,8:31,L-124,puncture hole,?,above shoulder,2x2,-,,
in0288,2002-05-07,7:02,L-146,"superficial wound, not bleeding",?,above shoulder,3x3,-,,
in0289,2002-05-07,7:50,L-135,"superficial wound, fresh",?,"above hip, left side",4x4,-,,
in0290,2002-05-07,17:30,L-122,open wound,?,ri side hip,4x6,-,,
in0291,2002-05-14,6:42,M-006,limping with RFL,,RFL,,"limping badly, not standing on leg when wa",,
in0292,2002-05-15,9:04,L-124,"right eye swollen, almost closed",?,right eye,,,,
in0293,2002-05-17,7:38,M-046,limping with RHL,,RHL,,limping quite badly,,
in0294,2002-05-17,8:13,L-124,"le si neck very swollen, puncture holes",?,swelling: le si neck; 1 punct hole each on both sides of neck,puncture holes: 2x2,holding head to le side,,
in0295,2002-05-17,17:00,L-148,open wound in hollow of left knee,?,hollow of left knee,2x4,-,,
in0296,2002-05-18,8:50,L-135,open wound on back,?,back,3x3,-,,
in0297,2002-05-18,9:00,L-153,lower lid of right eye swollen,?,right eye,-,"discharge in right eye, keeps eye closed",,
in0298,2002-05-25,18:08,M-182,open wound on le side below neck,from M-006 carrying her from Masala to Moram den,le side below neck,2x2,-,,
in0299,2002-05-25,18:15,M-099,slightly swollen between right eye and ri side of muzzle,?,between ri eye and ri side of muzzle,-,-,,
in0300,2002-05-30,18:50,F-004,limping with RHL,,RHL,,"limping quite badly, usually not standing on the leg",,
in0301,2002-06-15,17:59,A-048,"ri ear ""broken""",prob hy,ri ear,-,-,,
in0302,2002-06-16,8:00,M-040,fresh open wound,,rfl,3x6,limping badly with rfl,,
in0303,2002-06-26,17:41,S-089,fresh open wound,,RHL + RFL,"5x6 (RHL), 1x2 (RFL)",,,
in0304,2002-07-08,7:20,M-140,swollen penis,,,,,,
in0305,2002-07-09,8:51,L-014,swollen throat,"disease, Streptococcus",throat,-,-,,
,2002-09-16,,L-014,"swollen head, asymmetric, according to Harald Wiik lethargic, not seen again after this date","disease, Streptococcus",,,,,HW
in0306,2002-09-25,,M-047,"swollen lymph nodes behind ears, below neck, died during anaesthesia","disease, Streptococcus",throat,,,,RF
in0307,2002-10-15,,L-008,"swollen head, asymmetric, right side more than left one","disease, Streptococcus",,,,,DT
,2002-10-16,,L-004,2 big local swellings below neck,"disease, Streptococcus",,,,,DT
,2002-10-16,,L-011,"abscess/swelling at/below mandibular angle, surplus skin below neck","disease, Streptococcus",,,,,DT
,2002-10-16,,F-045,1 big local swelling below neck,"disease, Streptococcus",,,,,DT
,2002-10-16,,A-016,"surplus skin below neck? Thin, might be recovering from disease","disease, Streptococcus",,,,,DT
in0308,2002-11-05,,M-088,"very swollen head, particularly on right side","disease, Streptococcus","head, below lower jaw",,cannot close mouth,,
in0309,2002-11-07,7:54,L-180,small hole on penis,?,penis,1x1,-,,
in0310,2002-11-07,10:31,L-004,"extended skin below lower jaw, filled with liquid (prob pass), is wabbling when she is walking","disease, Streptococcus",,,,,
in0311,2002-11-08,7:12,M-100,"very swollen head, particularly on left side","disease, Streptococcus","head, below lower jaw",,"is breathing noisily when eating from carcass, but does not seem to have particular problems eating",,
in0312,2002-11-08,9:30,M-005,"extended skin below lower jaw, filled with liquid (prob pass), is wabbling when head is moved","disease, Streptococcus",,,,,
in0313,2002-11-10,7:39,S-086,split penis,"copulation, parturition",penis,,-,,
in0314,2002-11-10,8:56,S-100,mange?,,ri side neck,6x8,-,,
,2002-11-12,7:24,M-100,"much less swollen head, seems almost completely recovered","disease, Streptococcus",,,,,
,2002-11-12,7:35,M-088,still surplus skin filled with liquid,"disease, Streptococcus",,,,,
in0315,2002-11-17,7:00,L-174,slightly swollen foot,?,left foot,-,limping,,
in0316,2002-11-17,8:46,L-155,open wounds on upper side of foot,?,"both feet, upper side",2x3 each,-,,
in0317,2002-11-26,17:06,M-169,"open wound on left body side, only a few days old",,left side of body,4x5,,no skin in an area of 10x15 around the open wound,
in0318,2002-12-10,17:40,L-151,open wound,?,"RHL, just below knee",2x2,-,,
in0319,2002-12-10,18:50,A-049,only stump of tail left,?,tail,-,-,,
in0320,2002-12-12,7:43,M-053,fresh open wound,HY,RHL/bum,4x4,-,piece of skin hanging down,
,2002-12-15,,M-149,"swelling below lower jaw, more on right side, moving slowly","disease, Streptococcus",,,"moving slowly, seems to have problems with balance, puts head down slowly",,OH + BW
in0321,2002-12-19,6:53,M-092,wound from a few days ago,hy,LHL,2x3,-,,
in0322,2002-12-29,9:34,L-111,limping with LHL,-,LHL,,limping quite badly,,
in0323,2002-12-30,9:33,E-102,punture hoie,hy?,right body side,2x2 cm,-,,
in0324,2002-12-31,17:20,M-152,split and swollen penis,"copulation, parturition",,,,,
,2003-01-13,,F-099,quite big swelling in front part of neck/below lower jaw,"disease, Streptococcus",,,moving slowly,,OH + BW
,2003-01-15,,E-001,"swollen front part of neck, not huge but clearly visible, not yet under neck or jaws","disease, Streptococcus",,,moving normally,,OH + BW
in0325,2003-01-28,17:25,N-045,swelling ,"disease, Streptococcus",below left ear,5x5,-,,
in0326,2003-02-01,18:20,N-113,open wound,?,back,10x6,-,,
in0327,2003-02-04,6:51,L-010,swollen eye,?,right eye,,eye not open,,
in0328,2003-02-05,6:47,L-010,"eye completely closed, cut through left edge of eye",?,right eye,cut 5cm,"eye closed, swollen",,
,2003-02-14,,L-171,"right side of neck slightly swollen, fluid dripping down from three open wounds, skin must have opened the same morning or the night before, eyes not fevery, moving almost normally, only a bit slowly, sometimes scratches around wound, wa to den and ld close to other cubs after being chased a bit","disease, Streptococcus",,,moving a bit slowly,,OH + BW
in0329,2003-03-06,9:25,E-003,limping badly with LHL,,LHL,-,"limping badly, not standing on leg",,
in0330,2003-03-25,7:34,L-045,3 big open wounds,,on hip and right hl,"hip: 4x4, hl: 4x6",-,,
in0331,2003-03-25,18:12,L-135,"2 open wounds, fresh",,"le side hip, le hl",both 2x2,-,,
in0332,2003-03-25,18:15,L-135,split penis,"copulation, parturition",front part of penis,2cm,-,,
in0333,2003-03-28,7:15,M-133,"fresh wound, still bleeding",there was a kill and li around,close to hip,2x2,-,,
in0334,2003-03-29,7:30,A-003,"fresh, deep cut, still bleeding",feeding at kill,le cheek,9cm,-,see picture,
in0335,2003-03-30,9:05,E-085,split penis and almost proper teats,"copulation, parturition",,,,,
in0336,2003-03-30,17:55,L-132,"open wound/cut, at most one day old",?,upper eye lid of right eye and lower back side of rhl,2x1 (eye lid) and 2x2 (rhl),"can still close eye, eye ball seems ok",,
in0337,2003-07-28,7:07,M-053,"large open wounds, fresh",hy?,ri si bum,"7x10, 2x2",,licking wound,
in0338,2003-07-30,8:29,A-127,tarsus swollen,,left tarsus,-,limping,,
in0339,2003-08-01,6:45,M-184,pale healed wound plus open wound,bitten by hy?,"front next to right ear healed wound, at ear base open wound","6x3 healed, 2x1 open wound",holding ear down,,
in0340,2003-08-01,7:38,E-089,fresh hole below axle of ri front leg,wi?,below ri front axle,3x3,-,,
in0341,2003-08-01,7:44,E-001,puncture hole,hy bite?,front,2x4,-,,
in0342,2003-08-10,18:55,E-108,limping,?,RHL,-,limping,,
in0343,2003-08-11,18:33,M-088,limping,?,RHL,-,limping quite badly,,
in0344,2003-08-23,7:06,L-108,2 puncture holes,?,right side bum,"1x2, 1x1",licking sometimes,,
in0345,2003-08-25,17:10,M-157,split and swollen penis,"copulation, parturition",,,,,
in0346,2003-08-30,7:36,L-088,open wound,?,below and behind right ear,5x5,-,-,
in0347,2003-09-03,7:15,M-006,two teeth hanging out of muzzle,prob broken out when hit by eq,teeth,-,,,
in0348,2003-09-03,8:10,M-157,"penis still open and seems bleeding, very fresh wound",,,,,,
in0349,2003-09-08,6:59,A-081,deep fresh cut on right eye browe,?,right eye brow,2x4,right eye completely closed,,
in0350,2003-09-12,17:32,M-147,"fresh wound, 2 cuts, bleeding",m-152 bi m-147,"bum, right and below of tail root",1x4 (both),licks wounds,,
in0351,2003-09-12,17:47,M-168,"fresh wounds, still bleeding",?,"inside lhl, on neck le side and behind ri ear","neck: 2x5, behind ear: 2x2, inside: curve 8x1",licks wounds,,
in0352,2003-09-12,18:04,M-099,2 quite fresh puncture holes,?,left of tail root,1x1 (both),-,,
in0353,2003-09-14,18:20,L-123,limping with lhl,?,lhl,-,limping,,
in0354,2003-09-15,6:37,A-056,cuts on lower part of lhl and foot balls,?,lhl,,limping badly,,
in0355,2003-09-20,6:30,M-193,"fresh open wounds, one deep up to bone",?,lhl,"3x3, 1x1",,,
in0356,2003-10-08,17:48,L-096,limping with lhl,?,lhl,swollen,limping,,
in0357,2003-10-10,7:36,L-146,"open wound, deep cut",?,1cm left of tail root,6x1,-,,
in0358,2003-10-14,8:40,F-096,split and swollen penis,,,,,,
in0359,2003-10-15,7:44,A-013,left side udder much larger than right side - swollen?,,udder left side,,,,
in0360,2003-10-18,7:49,L-112,discharge in right eye,?,right eye,,,,
in0361,2003-10-19,,A-084,"large open wounds on both sides of body, wounds around ears",prob li on 15th,,,"wa very slowly and with bent back, thin",,
in0362,2003-10-20,7:33,A-???,"right eye closed, puncture hole on front, fresh open wound at end of right edge of mouth",,"right eye, front",,"right eye closed, open wound with discharge",,
in0363,2003-10-29,6:44,L-114,"open wound, cut, pus coming out",,"left side, next to hip",1x15,licking wound,,
in0364,2003-11-07,7:58,A-056,limping with lfl,?,lfl,,not limping badly but visibly,,
in0365,2003-11-07,8:55,L-112,"big open wound between ears, puncture holes around ears and on rfl + lhl + inside rfl, swollen penis",most probablt airstrips at kill,"between and arond ears, on rfl + lhl, on inside of rfl, penis",,,,
in0366,2003-11-11,9:00,L-124,swollen right side of face,?,,,,,
in0367,2003-11-13,8:23,L-160,two fresh superficial wounds + swelling on right cheek,"disease, Streptococcus",,,,,
in0368,2003-11-14,18:35,L-101,deep open cuts on front,bone or hy?,left side of front,"triangle, sides 1x5",,,
in0369,2004-04-12,9:02,E-089,"large wounds on both sides of hib, almost healed",li?,both sides of hib,"2x7, 3x6",-,,
in0370,2004-04-13,18:12,L-141,split penis,copulation?,penis,-,-,,
in0371,2004-04-17,18:20,E-116,puncture holes around right ear,other hy,right ear,2x1 each,-,"strange since e-116 is beta female, now on coalition walk with e-006 + e-095",
in0372,2004-04-20,7:12,L-135,limping badly,?,rfl,-,limping badly,,
in0373,2004-04-24,18:20,M-100,split penis,birth,penis,7cm,,,
in0374,2004-05-14,17:55,L-102,swollen penis,birth,penis,,,,
in0375,2004-05-16,6:36,M-116,limping badly with lhl,?,lhl,,limping badly,,
in0376,2004-05-20,9:02,E-041,"swollen foot, open wound on knee",?,lhl,knee: 3x4,limping quite badly,,
in0377,2004-05-23,8:25,F-007,"rub marks on both sides, bloated",commuting,both sides of udder,,,,
in0378,2004-06-14,7:27,A-001,"puncture holes, fresh, limping and rub marks",hy and commuting,"around ears, ri side cheek, on front, below le eye, cut above le eye, and both sides udder",4x10 (rub marks),limping badly,,
,2004-06-21,,L-160,"swelling on right side at mandibular angle, not very large","disease, Streptococcus",,,,,OH + BW
in0379,2004-06-22,7:45,L-162,"deep open wounds, puncture holes",hy,"skin ripped off between le eye and ear, puncture holes around ri ear and lhl",ripped skin 8x4,"limping with lhl, holding ri ear down",,
in0380,2004-06-22,8:16,L-096,"open wound, fresh, piece of skin ripped off and hanging down",?,"chest, close to lfl",10x15,"limping slightly, licking it",,
in0381,2004-10-13,8:06,F-090,"fresh wound cheek, around le ear, both sides tail root, tail tip, part of tail lost",hy,"cheek, ears, tail root",,keeps le ear down,,
in0382,2004-10-13,10:18,L-164,limping badly,,lfl,-,"limping badly, not standing on lfl, still limping badly on 080105",,
in0383,2004-10-14,9:20,N-047,quite fresh open wound,hy,left side bum,3x8,-,,
in0384,2004-10-14,10:12,L-148,fresh open wound,hy?,"le side body, close to fl",3x3,-,,
in0385,2004-10-15,6:45,M-144,fresh puncture holes,hy?,lhl,"1x1, 2x2",-,,
in0386,2004-10-15,7:25,L-013,"fresh wounds around right ear, large wound between ears, open puncture holes rhl+lhl, still bleeding, wound around right teat",hy,"right ear, front, rhl, lhl, right udder next to teat",7x15 (front),"wa slowly, holding right ear down",,
in0387,2004-10-16,7:53,L-087,fresh open wound on front between ears,hy,front,4x4,-,,
in0388,2004-10-19,8:05,M-051,"wound, old above right eye",?,right eye,3x1,-,,
in0389,2004-10-20,18:09,L-114,"healed wounds around and between ears, on back and on rhl",hy,"front, between ears, back, lhl",,-,see digital pictures,
in0390,2004-10-25,7:20,M-100,pinkish scratch from above right eye to edge of mouth,?,face,15x0.5,-,,
in0391,2004-10-29,7:12,S-091,"wounds around ears, not fresh any more",hy,around both ears,,holding ears down,,
in0392,2004-11-15,18:00,M-152,"large open wound, not very fresh any more",,"front, above right eye",12x2,-,,
in0393,2004-11-19,8:50,A-087,cut above right nose hole,,nose,1x3,-,-,
in0394,2004-11-19,17:55,L-116,"swelling, abscess",disease,between front legs on chest,10x8cm,-,-,
in0395,2004-11-21,9:14,L-153,"swelling left side of face, also puncture hole below left eye, swelling could be from puncture hole",injury,left side of face,,-,-,
in0396,2004-11-28,7:53,L-015,fresh puncture hole,hy,back,2x2,lk from time to time,,
in0397,2004-12-05,6:58,L-102,open wound,,lhl,4x5,-,,
in0398,2004-12-14,7:35,N-117,"fresh cut rhl, limping with lfl",,"rhl, lfl",cut: 2x4,limping,,
in0399,2004-12-14,18:21,M-201,"right eye slightly swollen, with clear discharge",,right eye,,"none, does not seem to be a problem, flicking normally",,
in0400,2004-12-15,17:00,L-133,split penis and teats,"copulation, parturition",,,,,
in0401,2004-12-19,18:22,E-102,cut,?,left side belly,20cm,-,,
in0402,2004-12-20,19:02,E-090,limping,,rhl,,limping,,
in0403,2004-12-28,7:30,F-006,swelling of right mandibular angle,"disease, Streptococcus",right side mandibular angle,,,,
in0404,2004-12-28,7:30,F-006,rub mark,commuting,right side udder,3x7,,,
in0405,2004-12-29,8:53,F-006,swelling larger,"disease, Streptococcus",right side mandibular angle,,,,
in0406,2004-12-29,8:57,F-096,"open wound at anus, sometimes coughing",hy?,at anus,,licking ,,
in0407,2004-12-29,9:47,F-006,"fresh open wound inside right hl, around knee",fight with f-002?,rhl,3x3,,,
in0408,2004-12-30,7:16,A-008,limping,,rhl,,limping,,
in0409,2004-12-30,7:29,S-091,large warts on edges of mouth and on front,stress,,,,,
in0410,2004-12-30,9:43,F-048,limping badly,,lhl,,limping badly,,
in0411,2004-12-30,17:40,N-045,fresh open wound,hy,right of tail root,3x3,licks wound,,
in0412,2004-12-31,18:40,E-132,abscess,disease,below left mandibular angle,golf ball size,-,,
in0413,2005-01-01,6:32,E-132,"abscess, smaller, now with a hole where prob fluid drains",disease,below left mandibular angle,smaller than yesterday,-,,
in0414,2005-01-01,8:53,F-007,"rub marks on both sides of udder, f-007 bloated",commuting,both sides udder,5x8,"wa stretched out, avoiding rubbing on udder",,
in0415,2005-01-01,9:22,F-006,"rub mark on right side of udder, udder asymmetric, f-006 bloated",commuting,right side udder,3x7,,,
in0416,2005-01-07,7:46,F-006,"rub mark on right side of udder and inside of rhl, udder asymmetric, f-006 bloated",commuting,right side udder + inside rhl,3x8,,,
in0417,2005-01-09,6:55,E-090,open fresh wound left side of hip,,hip,4x1,,,
in0418,2005-01-14,18:16,L-146,open wound,,left of tail root,6x6cm,,,
in0419,2005-01-18,8:45,E-095,open fresh puncture holes,,"lhl, 4 puncture holes along outside of leg + 2 on inside + 1 on hip",3x3,limping badly,,
in0420,2005-01-24,7:10,M-104,puncture hole,bite,right eye lid,1x1cm,slightly swollen lid,,
in0421,2005-01-26,8:40,A-003,not very fresh open wound,,above right hip,5x6cm,,,
in0422,2005-01-26,8:45,A-001,fresh open wound,,above left hip,2x3cm,,,
in0423,2005-02-06,7:00,A-001,"fresh rub marks, very large, udder full of milk",commuting,"both sides udder and inside legs, larger on right side",15x8 on right side,wa with spread out legs,see pictures,
in0424,2005-02-08,9:25,F-002,right eye with milky area,,right eye,0.5x0.5,,,
in0425,2005-02-13,,A-080,"wound on tail-side of penis, wound next to pseudo scrotum, pseudo scrotum dislocated",,"penis, scrotum",,holding tail up,,
in0426,2005-02-15,17:39,A-087,"parallel scratches, puncture holes",lion,"scratch left hip, hole on back and right side of belly","scratches 4cm, holes 2x2","a bit afraid of us, quite some blood draining from back",,
in0427,2005-06-14,7:35,M-178,"split penis, fresh","copulation, parturition",,,,,
in0428,2005-06-19,14:05,E-087,limping,,lhl,-,limping badly,,
in0429,2005-06-24,8:45,A-148,fresh open wound lhl,hy,lhl,5x4,-,,
in0430,2005-06-24,18:45,M-221,"open wounds on three feet, on lhl foot pads seem chewed, on rfl wound aboveupper side of feet",hy?,feet of both hl and of rfl,2x4 on rfl,limping badly,"only came out of dh at 18:45, cw on some hair/skin, then small cubs and later also adults ap and m-221 gr and ye, cubs and adults put tu, sf around where m-221 was sitting, walking. At 18:58 m-221 starts limping towards river, prob to drink water.",
in0431,2005-06-29,7:10,A-139,"swollen neck, surplus skin below neck, seems already recovering","disease, Streptococcus",right side neck,-,-,,
in0432,2005-07-02,7:44,A-013,fresh open wounds on back,li?,"back, just in front of hip","3x3, 2x2",-,"still bleeding, maybe from kill adn encounter with li this morning",
in0433,2005-07-06,6:58,M-051,"healed wounds around ears, right ear with more notches",he,around ears,,-,,
in0434,2005-07-06,7:22,M-041,fresh wound on le bum,?,left side bum,2x4,-,,
in0435,2005-07-08,8:43,S-085,piece of skin hanging from bum,?,le side bum,3x4,-,,
in0436,2005-07-09,7:55,L-136,slightly swollen lymph node below left ear,disease,le side below ear,-,-,,
in0437,2005-07-11,7:30,E-085,split penis,"copulation, parturition",,,,,
in0438,2005-07-19,9:13,L-108,"abscess on left fl, open",?,lfl on thorn,2x2,-,,
in0439,2005-07-20,7:02,M-197,"open wound, cut",?,rhl,5x2,-,-,
in0440,2005-07-20,7:39,X-010,limping with rhl,?,rhl,-,limping not very badly,,
in0441,2005-08-01,7:25,A-102,open wounds,"x-017, l-108 + l-095","below left eye, around right ear",4x6,"licking, looks very disturbed","x-017, l-095 + l-108 bait and attack a-102 severely",
in0442,2005-08-01,9:20,A-185,"open wound, quite fresh",?,lhl,3x3,-,-,
in0443,2005-08-02,7:25,M-041,wounds around right ear,hy?,"right ear, upper part",,,,
in0444,2005-08-02,7:25,A-016,"wounds around ears, scratches and puncture holes",hy?,mainly left ear,1x1,holding left ear down,,
in0445,2005-08-07,7:38,L-222,quite fresh wound,hy,"bum, 3cm from scrotum",1x3,lk wound,,
in0446,2005-08-08,9:45,F-sad?,"lower law shifted, prob broken, pale patches on upper side of neck",?,"lower jaw, neck",,,,
in0447,2005-08-11,9:30,A-093,"piece of ear almost cut off, puncture hole on bum",hy,"right ear, right side bum",,,,
in0448,2005-08-11,18:20,A-192,several bold patches,mange?,"knee of rhl and lhl, ankle of rfl, elbow of lfl",3x3 - 6x6cm,-,,
in0449,2005-08-14,11:28,F-002,several open wounds,hy or drained swollen neck,"2 open wounds below chin, 2 between right eye and right ear, 2 behind right ear, 2 knee rfl","1x1 chin and behind eye, 2x2 behind ear, 3x3 and 4x4 rfl","limping with rfl, slightly swollen",,
in0450,2005-08-15,8:12,L-088,limping with rhl,hy,rhl,,,,
in0451,2005-08-15,17:51,M-206,fresh open wound on rhl next to scrotum and older wound on lfl,hy?,rhl next to scrotum + side of lfl 15cm above toes,3x3 + 2x3,,,
in0452,2005-08-26,6:50,M-097,limping quite badly with rhl,?,rhl,,,,
in0453,2005-08-28,17:35,L-180,swollen penis,"copulation, parturition",pseudopenis,,,,
in0454,2005-08-30,8:25,L-136,"discharge from left eye, swollen left eye",?,"left eye, lower lid",,,,
in0455,2005-08-31,10:10,T-013,"seems in rather bad condition, quite thin, some not very fresh wounds around left ear, penis swollen and split or wounded",disease,,,,,
in0456,2005-09-03,9:00,F-099,split penis,"copulation, parturition",,,,,
in0457,2005-09-05,8:26,L-171,"slightly swollen below right ear, on lowest point seems geschuerft, open, dark",disease,right side below ear,,,,
in0458,2005-09-06,8:30,L-116,"fresh open wound on tail root, piece of skin half bitten off",hy?,tail root,2x4,,,
in0459,2005-09-14,8:55,M-178,"split penis, seems fresh","copulation, parturition",pseudo penis,,,,
in0460,2005-09-15,6:38,E-102,split penis,"copulation, parturition",,,,,
in0461,2005-09-16,18:23,M-133,"quite fresh open wound, chunk of skin hanging loose",hy?,"right side bum, next to tail root",5x5,licking now and then,,
in0462,2006-01-20,18:25,M-178,"split penis, fresh","copulation, parturition",,,,,
in0463,2006-02-02,8:05,M-097,quite fresh wound on right thigh,other hy?,right thigh,4x4,,,
in0464,2006-02-02,18:46,L-156,"puncture holes, blood dropping",hy,udder and penis,1x1cm,"swollen penis, lots of licking",,
in0465,2006-02-05,17:50,L-262,swollen head,"disease, Streptococcus",right part ot the face,"5x5mm pinkish area on right jaw, not clear, whether hole or not","swollen side, right eye nearly closed, licks constantly bits of bones, L-102 or grass, scratches sometimes right side",,
in0466,2006-02-06,7:34,L-262,"still swollen right side of head, open wound below right eye and below right edge of muzzle, pus coming out of hole below muzzle","disease, Streptococcus",right part ot the face,,,,
in0467,2006-02-07,18:05,L-010,white spot in eye,?,left eye,8x8mm,-,,
in0468,2006-02-10,6:45,M-194,"wound/puncture hole, some blood came out, not very fresh, maybe one or two days",?,left side hip,1x1,-,,
in0469,2006-02-14,9:06,L-206,cub on right side of back above right leg,?,on right side of back above right leg,10cm,-,,
in0470,2006-02-14,18:48,L-262,still slightly swollen below right eye,"disease, Streptococcus",below left eye,,-,"seems doing well, playing a lot",
in0471,2006-02-16,18:20,L-262,"pus released from wound below left edge of muzzle, still slightly swollen below right eye","disease, Streptococcus",below left edge of muzzle,,-,,
in0472,2006-02-27,8:01,E-090,"open wound, only a few days old, still a little bit bleeding",hy,"bum, left side, 7cm from scrotum",4x2 (2x),-,,
in0473,2006-02-28,17:50,L-262,"wounds from swelling, still some pus released from hole below right edge of muzzle","disease, Streptococcus",below right eye and below right edge of muzzle,,,,
in0474,2006-03-07,6:55,E-124,split penis and proper teats,"copulation, parturition",,,,,
in0475,2006-03-18,8:35,L-141,4 fresh puncture holes on back,hy,back,puncture hole size,,,
in0476,2006-03-18,18:38,L-206,limping slightly with rfl,?,rfl,-,"limping, but not badly",,
in0477,2006-03-19,18:16,L-203,patch without outmost layer of skin,hy?,"right side body, almost at back",6x4,,,
in0478,2006-03-26,8:44,L-102,"open wound, large junk of skin of udder bitten off",hy,"udder, left side",15x5,,,
in0479,2006-03-26,9:26,M-139,"wound between ears, quite fresh",hy,between ears,6x3,,,
in0480,2006-03-30,6:45,M-212,3 scratches between pseudo testes and pseudo penis,?,between pseudo testes and pseudo penis,8cm,,,
in0481,2006-04-06,10:20,N-108,many fresh puncture holes on back,hy,back,,scratches back on floor a lot,,
in0482,2006-04-09,7:05,L-148,milky discharge in right eye,,right eye,,keeps eye half closed when resting,,
in0483,2006-04-12,18:05,E-080,coughing,disease,,,,,
in0484,2006-04-16,8:45,E-089,fresh open wound,L-205 bi piece of skin out of bum,left side bum, lk wound,bleeding,,
in0485,2006-04-19,17:25,L-180,split penis,"copulation, parturition",,,,,
in0486,2006-08-22,7:00,M-253,"left eye seems damaged, inside eye burrow",,left eye,,,,
in0487,2006-08-23,9:12,L-131,"fresh puncture hole on rhl, fresh wounds on both ears",hy,"rhl, around ears",,limping,"l-131 was beaten suddenly up by 3 other hy without obvious reason, scene filmed by national geo",
in0488,2006-08-23,9:45,M-116,fresh blood on right achselhoehle,,,,,,
in0489,2006-08-24,17:13,M-139,"fresh wounds around ears, left mandibular angle, fresh open wound on rhl",hy,"ears, lhl",punture whole,,,
in0490,2006-09-03,18:32,E-090,2 cuts,?,lfl,5x2 cm,-,,
in0491,2006-09-10,17:50,L-138,punture hole,injury,right lower jaw below eye,1x1 cm,little blood dripping,,
in0492,2006-09-11,17:30,M-082,very thin,disease,all,,apathic,all bones visible,
in0493,2006-09-17,8:00,E-006,split penis,"copulation, parturition",,,,,
in0494,2006-09-18,8:01,N-108,several fresh puncture holes on back,hy,back,,,prob her cub starving,
in0495,2006-09-18,8:05,N-044,"large open wound, quite fresh",?,rhl,8x20,slightly limping,,
in0496,2006-09-21,6:30,M-174,"puncture holes, not fresh",hy,"bum, around tail root",,,,
in0497,2006-09-24,8:20,F-104,"open wound below left mandibular angle, surplus skin hanging down","disease, Streptococcus",left side below manibular angle,,-,seems as if she had swelling and abscess burst,
in0498,2006-09-25,6:36,E-135,small wound on inner eye edge of left eye and pus around lid,?,left eye,,keeps eye closed,,
in0499,2006-09-28,7:46,S-091,many warts around muzzle,stress ?,,,,,
in0500,2006-09-29,9:10,A-198,"fresh puncture hole, wound on nose",?,"right shoulder, nose",1x1,licks puncture hole,,
in0501,2006-10-29,7:20,A-196,patch without hair above tail root,,above tail root,6x6,-,,
in0502,2006-10-30,9:44,M-041,swollen carpal joint of rfl,,rfl,,limping slightly,,
in0503,2007-02-20,9:02,L-275,fresh open wound on ri ear,,ri ear,,-,bleeding,
in0504,2007-02-26,10:00,S-093,quite fresh open wound,hy,tail root,4x5,-,-,
in0505,2007-03-02,8:40,M-009,has only 1 lower incisor left,ea,teeth,-,-,-,
in0506,2007-03-13,6:37,L-116,limping badly,hy?,rhl,-,limping badly,,
in0507,2007-03-13,18:40,E-090,fresh open puncture holes,wi?,"lhl/bum, maybe another wound on side as he is licking also side",puncture holes,licking holes,,
in0508,2007-03-17,9:33,L-245,"fresh, large open wound",,"front, left side between eye and ear",6x7,tries to keep flies away with forearm,,
in0509,2007-03-22,7:27,L-015,discharge in both eyes,?,both eyes,,,,
in0510,2007-03-22,7:30,L-171,"discharge in both eyes, limping with lhl, warts left of muzzle and around left eye",?,"both eyes, lhl",,,,
in0511,2007-03-23,9:40,M-224,fresh open wound,hy?,next to left auricle,3x3,,,
in0512,2007-03-28,6:38,N-089,limping with rfl,?,rfl,,limping quite badly,,
in0513,2007-03-28,10:08,L-084,"wound on pseudo scrotum, red but not very fresh, prob several days old",hy?,right pseudo scrotum,1x1,-,,
in0514,2007-04-09,7:29,L-102,"fresh open wound on back, still bleeding",li?,"back, above hip",5x1,limping moving slowly,,
in0515,2007-04-13,6:58,N-119,"open wound, 1 or 2 days old",hy?,"on back, above hip",3x1 and 1x1,n-119 lk wound,,
in0516,2007-04-13,7:35,X-025,"open wound, a few days old, skin missing",hy?,lhl,12x3,-,,
