denname,latitude,longitude,altitude,habitat,soil,clan1,clan2,clan3,type1,type2,observer
Soleil,-3.19666,35.56847,,GRS,earth,S,,,comm,,
Sukari,-3.19672,35.57330,,GRL,earth,S,,,comm,,
Niumba,-3.19683,35.62067,,GRS,earth,N,,,birth N-003,,
Lulu,-3.19700,35.58767,,GRM,earth,L,,,birth L-005,,
Facile,-3.19711,35.51981,,GRS,earth,F,,,comm,,
Cili,-3.19783,35.58883,,HER,earth,L,,,birth L-001,,
Fondue,-3.19796,35.52027,,GRS,earth,F,,,comm,,
Cili 2,-3.19817,35.58783,,GRM,earth,L,,,L-011 + cub,,
S-138 birth,-3.19829,35.56772,,HER,earth,S,,,birth S-138,,
F-008 birth,-3.19867,35.51917,,GRL,earth,F,,,birth F-008,,
Sogea,-3.19900,35.57317,,HER/GRS,earth,S,,,comm,,
Floof 3,-3.19952,35.49630,,GRS,earth,F,,,comm,,
Fasta,-3.19956,35.51117,,GRS,earth,F,,,comm,,
Sikiria,-3.19983,35.57017,,GRS,earth,S,,,comm,,
Filimbi,-3.20000,35.51307,,GRS,earth,F,,,comm,,
Simple,-3.20002,35.57159,,HER/GRS,earth,S,,,comm,,
Sikiri 2,-3.20052,35.56937,,GRS,earth,S,,,comm,,
Shingo 2,-3.20056,35.57513,,GRS,earth,S,,,comm,,
Simple-Birth den,-3.20064,35.57121,,GRS,earth,S,,,,,
Fungo,-3.20069,35.50113,,GRS,earth,F,,,comm,,
Fahari,-3.20074,35.50305,,,,F,,,,,
Floof 2,-3.20083,35.49645,,GRS,earth,F,,,comm,,
S-152 birth,-3.20094,35.57096,,GRS,earth,S,,,birth S-152,,
Short 3,-3.20095,35.57820,,GRS,earth,S,,,comm,,
Folepi,-3.20100,35.51407,,GRS,earth,F,,,comm,,
Shingo,-3.20150,35.57434,,GRS,earth,S,,,birth S-082,,
Fadhila,-3.20151,35.49787,,GRM,,F,,,comm,,PN
S-193 birth,-3.20168,35.56974,,GRS,earth,S,,,,,
Flower mound,-3.20173,35.50132,,GRS,,F,,,comm,,PN
F-099 birth,-3.20177,35.52113,,ERO,earth,F,,,birth F-099,comm,
Fanta,-3.20183,35.51417,,HER,earth,F,,,birth F-007,,
S-culvert,-3.20189,35.58952,,ROC,metal,S,,,comm,,
Fumba,-3.20203,35.49615,,GRS,earth,F,,,comm,,PN
Short 2,-3.20220,35.57884,,GRM,earth,S,,,,,
Fix,-3.20236,35.52065,,GRS,earth,F,,,comm,,
Sungura,-3.20236,35.57739,,GRS,earth,S,,,comm,,
Short,-3.20247,35.57877,,GRS,earth,S,,,birth S-086,,
Smarties,-3.20247,35.57877,,GRS,earth,S,,,comm,,
S-247 birth,-3.20258,35.56686,,GRS,earth,S,,,comm,,PN
Smergol,-3.20264,35.56711,,GRS,earth,S,,,comm,,
Sampuli,-3.20272,35.56684,,,,S,,,comm,,
Floof,-3.20289,35.49702,,GRS,,F,,,comm,,
Folepi 2,-3.20303,35.51620,,GRS,earth,F,,,comm,,
Sandy,-3.20317,35.56783,,HER,earth,S,,,comm,,
Sobai 4,-3.20340,35.57546,,GRS,earth,S,,,comm,,
Sobai 2,-3.20344,35.57691,,GRS,earth,S,,,comm,,
Namba,-3.20350,35.60200,,GRM/HER,earth,N,,,comm,,
Lolo,-3.20367,35.57683,,HER,earth,L,,,L-001 + cubs,,
Sobai,-3.20367,35.57500,,burned,earth,S,,,comm,,
Sobai 3,-3.20373,35.57686,,GRS,earth,S,,,comm,,
Shist,-3.20377,35.58161,,GRS,earth,S,,,comm,,
Shari,-3.20413,35.57670,,ROC,metal,S,,,,,
S-234 birth,-3.20477,35.58193,,GRS,earth,S,,,birth S-234,,
Shumli 2,-3.20492,35.57088,,GRS,earth,S,,,comm,,
S-408 cozy,-3.20537,35.58071,,GRM,,S,,,comm,,PN
Shumli 3,-3.20549,35.57423,,GRS,earth,S,,,,,
Shumli 4,-3.20554,35.57826,,GRM,earth,S,,,comm,,OH+ED
Fancy,-3.20560,35.50579,,GRS,earth,F,,,comm,,PN
Lima,-3.20567,35.57850,,HER,earth,L,,,comm,,
Sabaya,-3.20568,35.58299,,,,S,,,comm,,
Shumli,-3.20572,35.57724,,GRS,earth,S,,,comm,,
Siri,-3.20600,35.57633,,GRS,earth,S,,,comm,,
Skol,-3.20624,35.57996,,GRS,earth,S,,,comm,,OH+ED
Niuma,-3.20667,35.62200,,GRS,earth,N,,,comm,,
Siri 2,-3.20669,35.57573,,GRS,earth,S,,,,birth S-008,
Sari/RP,-3.20676,35.57413,,GRS,,S,,,comm,,PN
Sari,-3.20683,35.57150,,GRM,earth,S,,,birth S-018,,
Nossob,-3.20684,35.60404,,GRL,earth,N,,,comm,,
S-234 nest,-3.20706,35.57687,,GRM,earth,S,,,S-234 with cub,,OH+ED
Seldom,-3.20715,35.55991,,ROC,metal,S,,,,,
Samaritan,-3.20732,35.57553,,GRM,earth,S,,,comm,,OH+ED
Silaha,-3.20743,35.56261,,GRS,earth,S,,,comm,,
Safi,-3.20817,35.55167,,GRS,earth,S,,,S-099,,
Saibul,-3.20873,35.55882,,GRS,,S,,,comm,,
Nora,-3.20933,35.61550,,GRS,earth,N,,,birth N-001,,
Nogi,-3.21383,35.61517,,GRS,earth,N,,,birth N-007,,
Trabant,-3.21413,35.53462,,GRS,earth,T,,,comm,,
Trump,-3.21474,35.53930,,GRS,,T,,,comm,,
