date,time,latitude,longitude,location,species,sequence,name,name2,focal_voc,other_sound,sequence_total,sequence_missed_start,sequence_missed_end,sequence_recorded,audioID,original_file,count_original_file,quality,context_behaviour,context_ecology,reply,comments,observer
1997-03-26,7:52,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,7a,,,,,NA,,,L-13 (L 5m away) LH,,n,,
1997-03-26,7:53,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,WH,"1a, 1s",,,,,NA,,,L-013 NR,,n,,
1997-03-26,7:54,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,"3a, 1s, 3a",,,,,NA,,,"L-013 GU, WA into DH",,n,,
1997-03-28,7:17,-3.18100,35.58183,Lupo,HYC,1,L-095,,WP,,4a,,,,,NA,,,"L-013 (L 5m away) GU, AP",,n,"L-002 (WA away) turns, WA 3m towards DH, then turns again and WA 6m from DH, LD",
1997-03-28,7:54,-3.18100,35.58183,Lupo,HYC,1,L-040,,WP,,"7s, 2a",,,,,NA,,,while WA away from den,,n,,
1997-04-09,6:54,-3.16933,35.60800,p,HYC,1,L-044,,WP,,"1a, 6s, 3a, 1t",,,,,NA,,,in Munge-territory,,n,,
1997-04-09,18:38,-3.12117,35.59033,p,HYC,1,S-041,,WP,,4a,,,,,NA,,,in Engitati-territory after LO from burned area to this location,,y ?,after WP LO to E-004 and copulates with E-004,
1997-04-10,18:28,-3.16400,35.61233,Mouse,HYC,1,M-040,,WP,,"1a, 3s, 4a, 1t","1a, 1s",none,"2s, 4a, 1t",au_19970410_1828_M,Tape_N01,07:51,good,"2 min after being CH 20m by M-007. After WP, M-010 + M-087 AP TU M-040, M-040 RE. While L 25m from DH.",,n,,OH+BW
1997-04-13,7:01,-3.16483,35.62683,p,HYC,1,M-043,,WP,,"10a, 1t",,,,,NA,,,"while r, shortly before meeting m-006, m-052, m-040, m-009 + m-088",,n,,
1997-04-13,8:45,-3.14883,35.64883,p,HYC,1,M-043,,WP,,5a,,,,,NA,,,"after being BI in Bk by m-006  m-007, m-043 then ch m-008 aver 3m",,n,,
1997-04-13,9:25,-3.14433,35.64117,p,HYC,1,M-097,,WP,,"1a, 1s, 1a, 1s, 5a",,,,,NA,,,after ap m-006 + m-007 and re again,,n,,
