name,origin,destination,date,comments
R-080,M,X,2000-03-05,
S-040,X,S,1996-04-12,
S-041,S,E,1997-03-02,
S-042,S,F,1998-10-05,
S-042,F,L,2004-10-13,
S-043,S,A,1997-06-24,
S-043,A,Y,1999-11-29,
S-043,Y,S,2001-09-08,
S-080,S,S,1998-09-18,
S-080,S,N,2002-07-17,
S-085,S,N,2002-07-17,
S-087,S,N,2002-07-18,
S-087,N,Y,2007-04-26,
S-087,Y,F,2008-10-04,
S-088,S,S,2000-10-17,
S-091,S,A,2005-06-15,
S-091,A,Y,2013-02-12,
S-091,Y,F,2014-12-15,
S-093,S,L,2005-06-24,
S-101,S,L,2006-02-18,
S-113,S,L,2008-01-02,
S-114,S,L,2008-02-05,
S-117,S,E,2009-04-01,
S-123,S,A,2009-03-30,
S-124,S,L,2009-08-10,
S-135,S,S,2011-08-06,
S-140,S,S,2012-09-10,
S-142,S,N,2011-11-28,
S-146,S,L,2012-10-02,
S-147,S,X,2012-03-04,
S-154,S,A,2014-06-15,
S-163,S,F,2016-04-15,
S-174,S,F,2014-12-15,
S-179,S,N,2016-04-21,
S-183,S,N,2016-11-19,
S-188,S,S,2015-12-28,based on conception date of sired cub
S-188,S,M,2023-11-12,
S-189,S,S,2015-12-27,
S-190,S,T,2016-02-27,
S-190,T,L,2023-01-17,
S-213,S,L,2016-11-28,
S-224,S,S,2018-04-28,
S-224,S,A,2022-12-06,
S-225,S,N,2019-02-03,
S-249,S,S,2020-06-18,
S-275,S,L,2020-11-21,
S-292,S,S,2020-09-26,
S-312,S,L,2021-09-17,
S-316,S,L,2021-10-11,
S-353,S,M,2024-05-11,
S-354,S,M,2024-04-06,
S-356,S,L,2023-01-17,
S-357,S,L,2023-01-17,
S-360,S,L,2023-07-20,
S-373,S,M,2024-03-12,
S-376,S,A,2023-02-03,
S-377,S,A,2023-12-21,
S-398,S,M,2024-05-09,
T-003,X,T,1996-04-12,
T-006,X,T,1996-04-12,
T-040,T,S,1998-08-20,
T-080,T,N,1999-11-10,
T-091,T,M,2004-04-12,
T-099,T,N,2007-02-23,
T-108,T,T,2007-01-14,
T-110,T,M,2007-02-22,
T-110,M,Y,2007-05-24,
T-110,Y,N,2009-12-24,
T-111,T,M,2007-02-18,
T-111,M,Y,2007-04-21,
T-111,Y,N,2009-04-12,
T-116,T,F,2010-05-04,
T-136,T,X,2016-11-12,
T-143,T,F,2015-01-04,
T-147,T,F,2015-01-04,
T-162,T,L,2019-09-27,
T-169,T,C,2021-01-27,date calculated as mean between last sight in Triangle (20200122) and first sight in Campsite (20220201)
T-171,T,L,2020-08-13,could already have immigrated on 2020-01-17 when intruding in S-terr together with A-264
T-190,T,T,2021-03-13,
T-198,T,E,2021-09-03,
T-198,E,M,2024-01-15,
T-200,T,L,2021-10-11,
U-040,X,U,2004-04-08,
U-080,U,M,2004-04-08,
U-088,U,M,2009-08-24,
X-006,X,M,1997-01-21,
X-010,X,E,2001-11-29,
X-010,E,S,2003-07-31,
X-014,X,L,2000-02-21,
X-017,X,A,1999-12-09,
X-018,X,S,2000-09-16,
X-019,X,S,2001-08-11,
X-024,X,A,2001-07-31,
X-025,X,N,2002-07-18,
X-040,X,U,2003-10-27,
X-041,X,T,2003-10-10,
X-061,X,L,2007-11-19,
X-062,X,M,2007-11-29,
X-063,X,A,2007-11-24,
X-065,X,E,2007-12-13,
X-066,X,M,2008-01-09,
X-067,X,N,2008-04-27,
X-068,X,A,2008-09-30,
X-072,X,A,2009-12-29,
X-075,X,N,2010-12-16,
X-083,X,E,2012-03-29,
X-088,X,E,2014-05-30,
X-091,X,F,2015-08-21,
X-094,X,N,2015-01-16,
X-095,X,N,2015-09-07,
X-096,X,E,2015-09-08,
X-100,X,M,2014-12-30,
X-104,X,A,2016-03-23,
X-106,X,M,2015-11-23,
X-107,X,U,2009-06-24,
X-108,X,U,2008-09-29,
X-109,X,C,2002-11-15,
X-112,X,M,2017-12-09,
X-113,X,M,2016-12-04,
X-117,X,M,2017-10-14,
X-150,X,L,2021-11-07,
X-151,X,L,2021-10-12,
X-152,X,T,2021-10-31,as of 2024-07-02 only seen once in T-territory (in June 2024; before seen in L-territory in Oct 2021 and N-territory in July 2022)
X-154,X,M,2022-09-12,
X-155,X,F,2022-04-09,
X-159,X,F,2023-01-23,as of 2024-07-02 only seen twice in F-territory within a month
X-162,X,E,2022-09-26,
X-166,X,N,2023-10-09,
