year,month,day,Season,Block,WI,EQ,GG,TG,BU,KO,WB,WH,OS,ELA,ELE,RH,Hippo,KB,CC,HY,LI,cheetah,BJ,GJ,SSJ,FX,serval,leopard,baboon,vervet,hare,bushbuck,reedbuck,klipspringer,secretary bird,honey badger
1994,9,NA,dry,2,71,366,110,0,534,44,6,11,19,0,2,0,18,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,9,NA,dry,3,2,5,32,20,253,23,0,0,21,0,0,0,0,0,0,0,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,9,NA,dry,4,0,0,75,83,1,0,0,4,1,0,0,0,0,0,0,0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,9,NA,dry,5,0,92,267,373,366,21,0,22,31,0,1,3,1,5,0,8,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,9,NA,dry,6,7589,567,84,42,55,0,0,6,14,0,0,0,4,1,0,3,0,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,9,NA,dry,1,3037,1022,1276,676,882,11,9,16,1,10,6,11,40,0,22,18,0,NA,6,4,NA,5,0,NA,NA,NA,NA,NA,NA,NA,0,NA
1995,9,NA,dry,2,649,78,218,384,533,37,9,9,0,0,3,1,37,6,2,0,12,NA,3,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA
1995,9,NA,dry,3,103,9,139,130,8,23,0,3,17,0,0,0,0,4,8,0,11,NA,2,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,0,NA
1995,9,NA,dry,4,0,154,75,6,1,13,0,5,25,9,0,0,0,0,0,0,0,NA,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA
1995,9,NA,dry,5,406,8,102,295,0,0,0,10,12,0,0,0,0,3,3,2,4,NA,3,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA
1995,9,NA,dry,6,1183,1441,118,75,550,33,0,13,12,0,0,0,0,5,13,0,0,NA,5,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA
1996,4,NA,wet,1,62,46,577,1054,980,88,10,30,21,0,34,11,29,21,0,3,0,NA,4,14,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1996,4,NA,wet,2,195,423,36,18,569,40,9,0,0,0,24,0,31,3,0,0,0,NA,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1996,4,NA,wet,3,3291,1002,194,181,75,2,0,0,0,38,0,0,0,3,0,10,4,NA,14,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1996,4,NA,wet,4,794,235,90,2,172,14,0,3,31,0,2,0,0,0,0,0,0,NA,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
