date,clan,name,higher,lower,description,reason,comments
2011-08-18,M,M-361,M-279,M-239,"M-279+M-361 drop to rank 18+19, between M-260 and M-239",female coup,
2011-11-26,N,M-261,M-262,M-301,"M-261+M-278+M-294 immigrate; M-301+E-179 drop to ranks 75+76, between M-261 and M-278",immigrate on same date+male coup,
2011-11-28,E,E-220,E-199,E-116,"drops to rank 6, between E-199 and E-116",female coup,
2012-05-01,A,A-324,A-102,A-278,A-324 joins in rank 37 (adopted by A-102),adoption,
2012-05-29,A,A-308,A-232,A-309,"A-308+A-309+A-273 drop to ranks 68-70, between A-232 and A-245",female coup,
2012-05-29,A,A-309,A-308,A-273,"A-308+A-309+A-273 drop to ranks 68-70, between A-232 and A-245",female coup,
2012-05-29,A,A-273,A-309,A-245,"A-308+A-309+A-273 drop to ranks 68-70, between A-232 and A-245",female coup,
2012-10-01,L,L-295,L-190,M-139,"L-295 drops to rank 73, to last position in hierarchy of natives",female coup,
2013-02-16,L,L-192,L-295,M-139,"L-192 drops to rank 66, to last position in hierarchy of natives",male coup,
2013-05-21,M,M-376,M-239,M-377,"M-376+M-377+M-365+M-366+M-242 drop to ranks 7-11, between M-239 and M-147",female coup,
2013-05-21,M,M-377,M-376,M-365,"M-376+M-377+M-365+M-366+M-242 drop to ranks 7-11, between M-239 and M-147",female coup,
2013-05-21,M,M-365,M-377,M-366,"M-376+M-377+M-365+M-366+M-242 drop to ranks 7-11, between M-239 and M-147",female coup,
2013-05-21,M,M-366,M-365,M-242,"M-376+M-377+M-365+M-366+M-242 drop to ranks 7-11, between M-239 and M-147",female coup,
2013-05-21,M,M-242,M-366,M-147,"M-376+M-377+M-365+M-366+M-242 drop to ranks 7-11, between M-239 and M-147",female coup,
2013-11-20,S,L-349,N-176,L-315,L-349+L-315 immigrate; L-349 dominant over L-315,immigrate on same date,
2014-04-17,L,L-460,L-453,L-407,"L-460 joins hierarchy in rank 20, between L-453 and L-407",adoption,
2014-05-08,F,F-107,F-174,F-204,"F-107+F-204+F-190+F-191+F-192+F-169+F-196 drop to ranks 7-13, between F-174 and F-099",female coup,
2014-05-08,F,F-204,F-107,F-190,"F-107+F-204+F-190+F-191+F-192+F-169+F-196 drop to ranks 7-13, between F-174 and F-099",female coup,
2014-05-08,F,F-190,F-204,F-191,"F-107+F-204+F-190+F-191+F-192+F-169+F-196 drop to ranks 7-13, between F-174 and F-099",female coup,
2014-05-08,F,F-191,F-190,F-192,"F-107+F-204+F-190+F-191+F-192+F-169+F-196 drop to ranks 7-13, between F-174 and F-099",female coup,
2014-05-08,F,F-192,F-191,F-169,"F-107+F-204+F-190+F-191+F-192+F-169+F-196 drop to ranks 7-13, between F-174 and F-099",female coup,
2014-05-08,F,F-169,F-192,F-196,"F-107+F-204+F-190+F-191+F-192+F-169+F-196 drop to ranks 7-13, between F-174 and F-099",female coup,
2014-05-08,F,F-196,F-169,F-099,"F-107+F-204+F-190+F-191+F-192+F-169+F-196 drop to ranks 7-13, between F-174 and F-099",female coup,
2014-05-11,S,S-208,S-175,S-209,"S-208+S-209 drop to ranks 5+6, between S-175 and S-165 (S-193+S-208+S-209 dominate S-165)",female coup,
2014-05-11,S,S-209,S-208,S-165,"S-208+S-209 drop to ranks 5+6, between S-175 and S-165 (S-193+S-208+S-209 dominate S-165)",female coup,
2014-05-22,T,T-085,T-154,T-153,"T-085+T-153+T-141+T-129 drop to ranks 16-19, between T-154 and T-112",female coup,
