"ID","origin","destination","date"
"N-155","E","S",2009-02-12
"N-171","E","A",2009-02-12
"M-113","M","L",2009-03-12
"N-199","N","A",2009-03-12
"L-246","L","S",2009-04-12
"M-265","M","S",2009-04-12
"S-115","S","N",2009-04-12
"T-128","T","L",2009-04-12
"E-156","E","L",2009-05-12
"L-249","L","M",2009-05-12
"M-249","M","A",2009-05-12
"M-262","M","S",2009-05-12
"M-267","M","F",2009-05-12
"A-334","A","N",2009-06-12
"F-092","S","M",2009-06-12
"F-135","F","S",2009-06-12
"L-250","L","M",2009-06-12
"L-251","L","F",2009-06-12
"S-119","S","M",2009-06-12
"S-120","S","L",2009-06-12
"E-157","E","L",2009-08-12
"E-159","E","F",2009-08-12
"E-160","E","L",2009-08-12
"F-139","F","A",2009-08-12
"F-140","F","S",2009-08-12
"F-141","F","A",2009-08-12
"L-232","L","M",2009-08-12
"M-271","M","A",2009-08-12
"S-119","M","E",2009-08-12
"F-144","F","N",2009-09-12
"L-258","L","N",2009-09-12
"M-272","M","T",2009-09-12
"M-273","M","A",2009-09-12
"N-200","N","F",2009-09-12
"E-161","E","E",2009-09-12
"M-275","M","E",2009-10-12
"M-278","M","N",2009-10-12
"M-279","M","L",2009-10-12
"A-339","A","A",2009-10-12
"L-260","L","M",2009-11-12
"A-344","A","T",2009-12-12
"E-165","E","S",2009-12-12
"L-262","L","A",2009-12-12
"L-263","L","N",2009-12-12
"M-264","A","M",2009-12-12
"M-283","M","E",2009-12-12
"M-287","M","M",2009-12-12
"S-127","S","T",2010-01-12
"S-129","S","L",2010-01-12
"E-166","E","E",2010-01-12
"N-201","N","N",2010-01-12
"A-347","A","M",2010-02-12
"A-348","A","N",2010-02-12
"A-350","A","S",2010-02-12
"E-168","E","E",2010-02-12
"E-169","E","S",2010-03-12
"L-232","M","S",2010-03-12
"T-134","T","S",2010-03-12
"M-289","M","M",2010-03-12
"E-170","E","A",2010-04-12
"M-165","L","E",2010-04-12
"M-287","M","A",2010-04-12
"M-290","M","S",2010-04-12
"N-205","N","F",2010-04-12
"M-291","M","S",2010-05-12
"E-171","E","F",2010-06-12
"M-293","M","L",2010-06-12
"M-294","M","L",2010-06-12
"S-134","S","L",2010-06-12
"S-135","S","F",2010-06-12
"T-137","T","E",2010-06-12
"E-121","S","M",2010-07-12
"L-269","L","N",2010-07-12
"M-211","N","S",2010-07-12
"N-208","N","E",2010-07-12
"S-136","S","E",2010-07-12
"T-138","T","L",2010-07-12
"T-139","T","L",2010-07-12
"E-161","E","S",2010-08-12
"E-175","E","S",2010-08-12
"A-310","A","F",2010-09-12
"M-296","M","S",2010-09-12
"M-297","M","S",2010-09-12
"F-149","F","A",2010-10-12
"F-151","F","M",2010-10-12
"F-152","F","A",2010-10-12
"N-210","N","E",2010-10-12
"N-211","N","N",2010-10-12
"A-298","N","L",2010-11-12
"E-179","E","S",2010-11-12
"F-115","A","T",2010-11-12
